external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
Gcsh,ENSMUSG00000034424,0.163098873,0.39815082,0.728906637,-0.12485156,0.517847905,1,0.155246136,0.421696638,0.910752635,-0.132704297,0.491455299,1
Gna13,ENSMUSG00000020611,-0.301709061,0.186060076,0.516611145,-0.108450372,0.634572633,1,-0.063445634,0.781194774,0.981370564,0.129813054,0.568980248,1
Xpot,ENSMUSG00000034667,0.194419691,0.433384253,0.752318144,0.14444706,0.560451518,1,-0.055954675,0.821642946,0.986103063,-0.105927306,0.669384364,1
Fbxo40,ENSMUSG00000047746,5.592356368,0.000223658,0.015542701,1.619604959,0.28480145,0.981660709,1.170155224,0.43959986,0.915828531,-2.802596186,0.064406836,1
Rgl2,ENSMUSG00000041354,-0.067251851,0.757175543,0.924342831,0.29998312,0.167512508,0.962016865,-0.353499038,0.104161056,0.680447111,0.013735934,0.94960074,1
Creld1,ENSMUSG00000030284,-0.36524101,0.218671258,0.558238083,-0.082265608,0.781643822,1,-0.276263656,0.352393845,0.878444544,0.006711745,0.981949477,1
Letm1,ENSMUSG00000005299,0.170066676,0.374254056,0.708223273,0.213609209,0.264569326,0.976047576,0.016769867,0.930218581,0.996802713,0.0603124,0.752631629,1
Smg5,ENSMUSG00000001415,0.196079005,0.539802316,0.823106728,-0.254997772,0.42536833,1,0.317221761,0.321477288,0.863607433,-0.133855017,0.675475992,1
Prrc1,ENSMUSG00000024594,-0.23740183,0.14716076,0.464594945,0.112744439,0.49068848,1,-0.290235344,0.076662015,0.637651119,0.059910925,0.713898605,1
Lypla1,ENSMUSG00000025903,0.597328888,0.057879628,0.289289875,0.293385395,0.351748991,0.989920823,0.295415392,0.348275642,0.876510077,-0.008528101,0.978404294,1
Zfp467,ENSMUSG00000068551,-0.303162883,0.35748042,0.694135234,-0.374551986,0.255450129,0.974532838,-0.103448997,0.753649924,0.97805236,-0.1748381,0.595336196,1
Ttc7b,ENSMUSG00000033530,0.765512575,0.052383469,0.273541169,-0.026853736,0.945763352,1,0.644847918,0.102277663,0.678716453,-0.147518392,0.708577914,1
Irs2,ENSMUSG00000038894,-0.038864752,0.914277083,0.980960412,-0.897013109,0.01299276,0.770139262,0.461387394,0.201634729,0.778089548,-0.396760963,0.271520863,1
Kmt2c,ENSMUSG00000038056,-0.21087309,0.496363377,0.797490196,-0.51314416,0.097860586,0.962016865,0.125120574,0.686729793,0.970751507,-0.177150496,0.567391549,1
Arf6,ENSMUSG00000044147,-0.24373728,0.245716341,0.587596915,0.217821563,0.299490646,0.982391778,-0.235343735,0.262716591,0.82367073,0.226215107,0.28088903,1
Aktip,ENSMUSG00000031667,0.562115905,0.020240625,0.166952567,0.253126295,0.296005093,0.982391778,0.261637709,0.279869334,0.832934977,-0.047351902,0.844992532,1
Osbpl1a,ENSMUSG00000044252,0.048419117,0.805466702,0.943853195,0.005843407,0.976304702,1,0.131391611,0.504417404,0.93774399,0.088815901,0.651297183,1
Serpine1,ENSMUSG00000037411,-0.218817648,0.608888339,0.860807361,0.566978452,0.185183502,0.964658317,0.093254051,0.827441698,0.986316951,0.879050151,0.039887157,1
Fbln1,ENSMUSG00000006369,-0.487316592,0.261829375,0.603564,0.040495787,0.925727536,1,-0.006030003,0.988926838,1,0.521782376,0.229497193,1
Ubxn2a,ENSMUSG00000020634,2.26757193,0.000107869,0.010960623,0.646954977,0.269246799,0.976047576,0.950677893,0.104368805,0.680447111,-0.669939059,0.25278659,1
